pg_name,location,room_amenities,common_amenities,food_facility,available_from,posted_on,parking,occupancy,rent,deposit
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'dustbin', 'fan', 'geyser', 'light', 'mirror', 'study table']","['24/7 water supply', 'cctv', 'common tv', 'dining area', 'fridge', 'housekeeping', 'power backup', 'ro water', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-08-01,2025-07-01,Bike,four,7500,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-08-01,2025-06-29,Bike and Car,double,9000,9000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-08-01,2025-07-03,Bike,three,8500,2000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,four,8000,8000
PG for Anyone in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,three,9000,3000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike,three,6500,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-01,Bike,three,7000,2000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'power backup', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,double,12500,5000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'power backup', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,three,9500,5000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'power backup', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,four,8000,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light']","['cctv', 'fridge', 'housekeeping', 'mattress', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike and Car,three,10000,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'mattress', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike and Car,four,9000,5000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,double,9000,2000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'common tv', 'fridge', 'housekeeping', 'lift', 'mattress', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-03-23,Bike,three,9500,3000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'common tv', 'fridge', 'housekeeping', 'lift', 'mattress', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-03-23,Bike,four,8500,3000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'mattress', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,three,8000,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,four,7000,2000
PG for Anyone in Madhapur,Madhapur,"['ac', 'bed (cot/frame)', 'charging points', 'fan', 'light']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-04,Bike,double,15000,5000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'drinking water', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike and Car,four,7500,3750
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'mess', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Car,three,8500,3000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'lift', 'mess', 'power backup (implied)', 'room cleaning', 'warden service', 'washing machine', 'washing machine/laundry', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,four,8000,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike,double,10500,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike,three,8500,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike,four,7500,2000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'bed sheets', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'hot water', 'housekeeping', 'lift', 'mineral water/ro', 'power backup', 'safety lockers', 'self?cooking facility', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,three,6500,1000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'hot water/ro', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,four,7000,2000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,four,7000,2000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,13500,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,four,8500,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-07-03,Bike,four,6500,2000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['air conditioner (common area if not room)', 'cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,double,8500,2000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['air conditioner (common area if not room)', 'cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,three,7500,2000
